hidden_layers,learning_rate,activation,dropout,val_accuracy,train_accuracy,test_accuracy,val_f1,val_precision,val_recall,test_f1,test_precision,test_recall,l2_penalty
"[128, 256, 128, 128]",0.005,relu,0.5,0.5850202429149798,0.8431372549019608,0.5850202429149798,0.2737388954701125,0.43987283549783546,0.27968195570276294,0.26470593917998847,0.37485294952805215,0.27476582405790795,0.01
"[512, 8, 16, 8]",0.01,relu,0.5,0.5668016194331984,0.6213657876943881,0.548582995951417,0.15405556885365673,0.17505188875051889,0.16579719039825422,0.14058686372635087,0.1591270056130092,0.1531065713246564,0.001
"[64, 8, 16, 256]",0.01,relu,0.25,0.6072874493927125,0.9039891818796484,0.5951417004048583,0.25158502216422357,0.36340999593840506,0.23701727681311538,0.2509283163998463,0.42340568761751274,0.2453447935808699,0.0
"[128, 128, 256]",0.001,relu,0.5,0.6821862348178138,0.9688979039891819,0.6396761133603239,0.32653425294029587,0.35607469302249584,0.31968798618517014,0.2911249358945059,0.31091377914162727,0.28498886192096456,0.1
"[256, 32, 512]",0.001,relu,0.5,0.6639676113360324,0.9641649763353617,0.645748987854251,0.29937842247274926,0.3435723800078275,0.30169705948022596,0.301426274745107,0.3435687639746515,0.29596599738965196,0.001
[8],0.01,relu,0.1,0.6659919028340081,0.9898580121703854,0.6437246963562753,0.2744111391998716,0.3664806226632154,0.2598918708899935,0.27453200000185435,0.37193596928185974,0.2535498254756703,0.0
"[128, 512]",0.005,relu,0.5,0.6538461538461539,0.9952670723461798,0.6437246963562753,0.2764946451793142,0.3410729248964543,0.26365996277604536,0.27687140399836735,0.3389482170192071,0.2606157536148149,0.01
"[64, 512, 512]",0.001,relu,0,0.6781376518218624,0.9526707234617985,0.6174089068825911,0.3220769016281553,0.38598550958845074,0.29626438645525005,0.2722804288661336,0.3295230176645919,0.2526115238490082,0.01
"[16, 16, 8, 64]",0.001,relu,0.5,0.3623481781376518,0.4381338742393509,0.354251012145749,0.15560316305030789,0.28900746615769557,0.25584894350538906,0.15651535964035965,0.22708507627685542,0.24601807853528754,0.0
[256],0.005,relu,0.25,0.6740890688259109,0.9871534820824882,0.631578947368421,0.3002703347194454,0.35886308391460575,0.286046476323385,0.2762927527182112,0.3266029368439007,0.2637193920047487,0.0
"[512, 16, 8]",0.005,relu,0.5,0.6396761133603239,0.9377958079783637,0.611336032388664,0.2838284100970628,0.3056785608065412,0.28661152444788246,0.3111153531220743,0.35609336455813023,0.31278461263598933,0.1
"[16, 128, 8, 16]",0.01,relu,0.5,0.5688259109311741,0.6260987153482083,0.548582995951417,0.1560102714385521,0.16713169642857142,0.17188510019392372,0.1301141610005876,0.13804403303637713,0.1524388601594484,0.0
"[32, 32, 16, 16]",0.01,relu,0.5,0.5789473684210527,0.6443542934415145,0.5789473684210527,0.1748923200102586,0.19138933982683984,0.17989906682804055,0.19311370507708325,0.2013272200772201,0.20806828323255105,0.0
[512],0.01,relu,0.5,0.6740890688259109,0.9939148073022313,0.6255060728744939,0.31009633540571435,0.365406746031746,0.29113845446761594,0.26551279191124355,0.3230385878845764,0.24973371394679278,0.0
"[16, 512, 64]",0.001,relu,0.5,0.6761133603238867,0.9641649763353617,0.6417004048582996,0.36386893444112045,0.5086101398601398,0.33476189286186153,0.3030268942819817,0.3265841584158416,0.29663542257409586,0.0
"[32, 512, 256, 64]",0.001,relu,0.1,0.6538461538461539,0.9966193373901284,0.631578947368421,0.26025733292642805,0.30813382339717654,0.259053764529359,0.258142626356045,0.31594221891353763,0.24783646889404087,0.0
"[64, 32, 128]",0.0005,relu,0.1,0.6700404858299596,0.9851250845165652,0.6336032388663968,0.3053954235679779,0.36747640700842676,0.2866179765428827,0.2763533338983499,0.3398984943913385,0.25835541656098604,0.01
[64],0.001,relu,0.1,0.6680161943319838,0.896551724137931,0.6295546558704453,0.33595549330843444,0.35962787150174336,0.3315743623941371,0.3035506554792643,0.3126795016082114,0.3078878246274992,0.01
"[64, 128]",0.01,relu,0,0.659919028340081,0.9817444219066938,0.6032388663967612,0.3110283159463488,0.365765772108173,0.28846149715987013,0.24316683438393966,0.28888444894593124,0.22923600829577048,0.1
"[64, 64, 64, 16]",0.005,relu,0.5,0.6396761133603239,0.9290060851926978,0.5890688259109311,0.2639118285310957,0.3293802857681534,0.26098274991422676,0.24342216556199608,0.30036589721968476,0.23670387394573877,0.01
"[512, 64, 8]",0.001,relu,0,0.6477732793522267,0.9858012170385395,0.6255060728744939,0.2909772995546653,0.35902641218430686,0.2799910419004599,0.2735756942357778,0.3332438668787353,0.2611732274005428,0.0
"[256, 16]",0.01,relu,0.5,0.6578947368421053,0.9918864097363083,0.6396761133603239,0.3337407057205677,0.37859521696997156,0.31559770450180347,0.3050173597865342,0.33812728937728936,0.2919376624007412,0.0
[16],0.005,relu,0.25,0.6842105263157895,0.9614604462474645,0.645748987854251,0.3294340656042043,0.3833653514360036,0.3137310362357296,0.28709881850692126,0.32621991192176847,0.275857155980748,0.001
"[16, 512, 32, 32]",0.005,relu,0.1,0.6477732793522267,0.9540229885057471,0.5890688259109311,0.3292372112417629,0.44695726774386063,0.3148470240929565,0.26936262285882795,0.28050138058788576,0.28126790427322346,0.1
"[8, 32]",0.001,relu,0,0.4716599190283401,0.6558485463150777,0.4757085020242915,0.26298146547327894,0.3010440945412876,0.26469597446991067,0.2885555404354804,0.34268266916311024,0.3220269280579043,0.01
[256],0.0005,relu,0.5,0.5607287449392713,0.7728194726166329,0.5404858299595142,0.2886986353071651,0.2952118966515072,0.31518316159273607,0.30611395936683594,0.3274486935735019,0.31837526105752006,0.1
"[8, 512]",0.01,relu,0,0.680161943319838,0.9749830966869506,0.6336032388663968,0.308904091914657,0.38373217836689977,0.2946121248295842,0.25553834475825193,0.3108026371499425,0.2497334003122489,0.01
"[256, 32]",0.001,relu,0.5,0.6862348178137652,0.9743069641649763,0.6376518218623481,0.3282226260774777,0.39314574314574313,0.3140660276142128,0.2919255610860215,0.3228491902834008,0.2834647116170896,0.001
[128],0.0005,relu,0.1,0.6842105263157895,0.9661933739012847,0.6396761133603239,0.3072322959330428,0.36731106273668795,0.2991875210664322,0.29054566601980397,0.3292907451481202,0.27838634882596086,0.001
"[32, 256, 512]",0.005,relu,0,0.6194331983805668,0.8884381338742393,0.6214574898785425,0.2746418892760356,0.3067796770244551,0.2653916410565347,0.2661584781298712,0.29139417989417987,0.2591432142628951,0.01
[16],0.01,relu,0.25,0.6761133603238867,0.9743069641649763,0.6396761133603239,0.3253000774161563,0.3654457521645022,0.3089209032575741,0.29497253234691284,0.32030391077143694,0.2850344628348383,0.0
[32],0.001,relu,0.5,0.6194331983805668,0.7883705206220419,0.6052631578947368,0.2602278520584921,0.4024097542242704,0.25057135953568993,0.24180130853662843,0.25468636502239367,0.24483853567082606,0.001
"[32, 128]",0.001,relu,0,0.6781376518218624,0.9716024340770791,0.6396761133603239,0.2998715957955088,0.3662293956043956,0.28916946583561104,0.2808342972816657,0.3478491652240365,0.2668795452744139,0.001
"[64, 8, 16, 256]",0.001,relu,0.5,0.6619433198380567,0.9161595672751859,0.5991902834008097,0.31224219267355563,0.3332581306947962,0.31426548885873046,0.2745617590034574,0.30055762525274726,0.27254708281773365,0.0
"[256, 256, 64]",0.01,relu,0.5,0.6538461538461539,0.9601081812035159,0.6295546558704453,0.33080367085565965,0.46837595163457224,0.31840380825440273,0.28453238283395704,0.30492476613800146,0.28310477144957746,0.0
[64],0.0005,relu,0.5,0.6558704453441295,0.9019607843137255,0.631578947368421,0.3175685120336686,0.33292705051249766,0.31763174906948377,0.30434823628557645,0.30641934356873635,0.31078622728341126,0.0
"[32, 256, 128, 32]",0.001,relu,0.1,0.6619433198380567,0.9364435429344151,0.6477732793522267,0.3227707396828866,0.33434115703137446,0.3206611115716247,0.340611913371872,0.3832380991493817,0.3270810654845386,0.0
"[32, 256, 16]",0.01,relu,0,0.6497975708502024,0.9729546991210277,0.6275303643724697,0.30818397601034997,0.37867363740903676,0.2829477257277633,0.28080725136160833,0.33697375683677055,0.26171174372050465,0.01
[16],0.01,relu,0.5,0.6862348178137652,0.9743069641649763,0.6497975708502024,0.32183145261868223,0.38234861499156786,0.3068798096567183,0.29616356151016454,0.3373128830740217,0.28261391273750475,0.01
"[128, 64]",0.005,relu,0.1,0.6619433198380567,0.9770114942528736,0.6295546558704453,0.30881370370462036,0.35239212380756496,0.30375751452879113,0.29019604361653273,0.3406722250315085,0.27793780109174354,0.001
"[16, 64, 8]",0.01,relu,0.25,0.6558704453441295,0.9465855307640297,0.6194331983805668,0.3087687711257688,0.34843595043686143,0.29339255626020333,0.2757261298947732,0.3313667611382783,0.25937035472392167,0.0
"[32, 256, 64]",0.01,relu,0,0.6396761133603239,0.9418526031102096,0.6012145748987854,0.29608256939139294,0.3417939713532951,0.276016381656244,0.2613847922159914,0.28724259385016837,0.2533961187356056,0.0
"[64, 64, 128]",0.001,relu,0.1,0.6781376518218624,0.9702501690331304,0.6356275303643725,0.333423931571808,0.37955026101086364,0.3169569327266448,0.2950876864633167,0.3237599799478676,0.2868117304131071,0.001
"[16, 128, 64]",0.01,relu,0,0.6538461538461539,1.0,0.631578947368421,0.2822579128183289,0.30995437615129284,0.28048219553225806,0.2783718674958902,0.30770705521472397,0.275883973670269,0.0
"[64, 32, 128]",0.01,relu,0.25,0.6275303643724697,0.9885057471264368,0.6255060728744939,0.2889946817660155,0.3382416930379747,0.2788376173075797,0.29160052019641064,0.309533273074423,0.2844807855759045,0.01
"[128, 256, 16]",0.005,relu,0.5,0.6477732793522267,0.9445571331981069,0.6214574898785425,0.2861694594124497,0.2737446470934149,0.30580744410531646,0.33857044223500093,0.3351960630743525,0.3562633119149076,0.0
"[512, 512, 128]",0.01,relu,0.25,0.5668016194331984,0.7457741717376606,0.520242914979757,0.28171752216773793,0.2971661466255308,0.27468917319511815,0.24663056735598024,0.25931524391805616,0.24428253261169405,0.0
"[256, 16, 128]",0.005,relu,0.5,0.6497975708502024,0.9607843137254902,0.6214574898785425,0.3089679046823109,0.33055555555555555,0.3012148134566783,0.29125797912550055,0.30374226341291244,0.28814478693233386,0.0
"[128, 256]",0.005,relu,0.5,0.6700404858299596,0.9864773495605138,0.6356275303643725,0.31383621426839514,0.36086972593113514,0.29868203898241447,0.2799379266985425,0.31194599536028933,0.2692082198105352,0.0
[16],0.01,relu,0.25,0.6740890688259109,0.9709263015551048,0.6336032388663968,0.31344419839309545,0.35153198209515524,0.29901149077463224,0.291934105125083,0.31000532633018996,0.2845228629411984,0.0
"[128, 512, 8]",0.0005,relu,0.5,0.6619433198380567,0.9553752535496958,0.6234817813765182,0.37297917124678925,0.4260291043476097,0.3567990355967515,0.3658814471828293,0.4308032514080901,0.3433276022880216,0.01
"[128, 256, 512, 512]",0.0005,relu,0.5,0.6821862348178138,0.9432048681541582,0.6376518218623481,0.33002946499394703,0.3791125541125541,0.31728058034378437,0.29325852931939245,0.3171056157663684,0.28911802977040774,0.001
[32],0.001,relu,0,0.680161943319838,0.9661933739012847,0.6336032388663968,0.2950092153217153,0.35988846952632,0.2890244814916279,0.27987413509877657,0.33312489883286345,0.26679967817327016,0.0
"[128, 64]",0.001,relu,0.1,0.6821862348178138,0.9783637592968222,0.6396761133603239,0.3204926290141399,0.38351983704565584,0.3014101367902995,0.28732182816033747,0.34662674593646986,0.26992960765645374,0.01
"[32, 64]",0.01,relu,0.5,0.6659919028340081,0.9925625422582827,0.6578947368421053,0.2978316499252728,0.3522978364148236,0.28451306670174004,0.3119088902602424,0.3821535017091844,0.2906882417598938,0.001
[256],0.001,relu,0.5,0.6781376518218624,0.9688979039891819,0.6396761133603239,0.30382762775071376,0.3534484325984782,0.2942324037442936,0.28797113895062976,0.32540491885877443,0.27547252128760263,0.01
"[256, 512, 16]",0.005,relu,0.5,0.6437246963562753,0.9519945909398242,0.6437246963562753,0.3361097069834825,0.3956830729656816,0.3195819564131516,0.3273788493376472,0.3368107097583338,0.3226188635684881,0.0
[32],0.001,relu,0.5,0.6740890688259109,0.889790398918188,0.6356275303643725,0.34184266948664854,0.35528468933342755,0.33831569426844765,0.3259329635708355,0.3239026193493874,0.33586643434891245,0.001
"[8, 256, 8]",0.001,relu,0.5,0.6477732793522267,0.933739012846518,0.5910931174089069,0.3435766443191428,0.38622669097125123,0.3479131694479004,0.2862379475402952,0.3355541689749175,0.2799545312256514,0.0
"[8, 32, 128]",0.005,relu,0.25,0.6680161943319838,0.9770114942528736,0.6255060728744939,0.33203944521527917,0.3753490903475212,0.3143860839222229,0.2983994400197647,0.3308100288779585,0.28497904503067206,0.0
"[512, 256]",0.005,relu,0.5,0.6639676113360324,0.9885057471264368,0.6376518218623481,0.305435824031993,0.39793718059095307,0.28501774211254816,0.2687805551125632,0.33473124098124096,0.25412106110635524,0.0
"[32, 512]",0.0005,relu,0,0.680161943319838,0.9830966869506423,0.6295546558704453,0.3177027995106088,0.38075605306043125,0.2997822573464,0.2609938760012685,0.3153171647324279,0.24769003641031176,0.0
"[8, 16]",0.005,relu,0,0.6882591093117408,0.9688979039891819,0.6437246963562753,0.3449653972447167,0.4046371524899132,0.3230387247126922,0.2917509107520041,0.32290649197485866,0.2813506908860476,0.01
"[256, 32]",0.001,relu,0.5,0.6761133603238867,0.9756592292089249,0.6417004048582996,0.3094614278002502,0.3450083201746211,0.2988598310485044,0.2872761988171509,0.3216631395327216,0.2769833208271882,0.01
"[32, 16, 8]",0.0005,relu,0,0.5931174089068826,0.7133198106828939,0.5748987854251012,0.25860230528321415,0.24712777363429728,0.2913993338743026,0.22870803624480096,0.22931862823167173,0.23608224318096033,0.1
"[512, 64, 256]",0.001,relu,0.1,0.6781376518218624,0.9519945909398242,0.6437246963562753,0.3364167201903116,0.3889916243177113,0.3171512957964773,0.29189338185984853,0.31650210285495095,0.2855998452447139,0.01
"[32, 8]",0.01,relu,0.25,0.6639676113360324,0.9540229885057471,0.6336032388663968,0.30972256980301294,0.3342372906374855,0.3083451734891034,0.29492314034220996,0.303254371711637,0.29518016732503594,0.0
"[32, 512]",0.0005,relu,0,0.6781376518218624,0.9283299526707235,0.6396761133603239,0.34175269983607254,0.36996649202871096,0.3326123714108695,0.30345915178544536,0.3161168622038187,0.29930897378488114,0.0
"[8, 256]",0.005,relu,0.1,0.6700404858299596,0.966869506423259,0.6295546558704453,0.3148390206350228,0.37748855502881573,0.2965593745865961,0.2806036619704751,0.33354217523689533,0.26587725187537453,0.0
"[128, 256]",0.0005,relu,0,0.6761133603238867,0.9256254225828262,0.6336032388663968,0.3374462635194783,0.3692336552713591,0.32679346583445457,0.29370811282724235,0.3118306532581219,0.28944956600619925,0.01
"[8, 512]",0.005,relu,0.1,0.6862348178137652,0.9506423258958756,0.6275303643724697,0.31864737274220034,0.3899603798647331,0.3086044782696848,0.2745842633416903,0.29479398379398375,0.2754058074771466,0.0
"[256, 64, 16]",0.0005,relu,0.25,0.6680161943319838,0.9716024340770791,0.6174089068825911,0.2910686272969649,0.38445723684210525,0.27793756747918197,0.2650390397510774,0.30474841292824784,0.25545800127308266,0.1
"[64, 32, 512]",0.01,relu,0.5,0.5910931174089069,0.7606490872210954,0.5708502024291497,0.22260094811032555,0.2519946370655735,0.2260273191124255,0.22896431821595872,0.32008695327660847,0.21538151337118797,0.001
"[8, 128]",0.01,relu,0.1,0.680161943319838,0.9837728194726166,0.6295546558704453,0.33636250509446786,0.3857375263083525,0.31406660583756957,0.29047889985503683,0.31914274779946417,0.2781647176202871,0.01
"[16, 128]",0.01,relu,0,0.6558704453441295,0.9966193373901284,0.645748987854251,0.29731081284267175,0.34199189222632903,0.28437860395776543,0.2942725981045947,0.34567584362550907,0.2769623563584765,0.1
"[8, 8]",0.001,relu,0.5,0.46963562753036436,0.5983772819472617,0.38461538461538464,0.29160980998236474,0.29713700746615224,0.3342011323668082,0.2227942263621651,0.231652792370778,0.268342923400026,0.001
"[128, 64]",0.001,relu,0.1,0.6821862348178138,0.9607843137254902,0.6417004048582996,0.32020713394435857,0.378088924963925,0.31013592993411515,0.29788790697368106,0.329821618743344,0.2895372442853669,0.0
"[32, 16]",0.001,relu,0.5,0.6761133603238867,0.9391480730223124,0.6477732793522267,0.330780717965255,0.3472742733278474,0.3306698390787878,0.3106152514519921,0.32451284632627,0.30637862165553026,0.01
"[8, 64]",0.01,relu,0.5,0.6417004048582996,0.8931710615280595,0.6032388663967612,0.2642970855097742,0.30034238288811455,0.2625975341479096,0.2609551133206319,0.3014292687395768,0.25014207257636545,0.1
"[128, 512, 8, 64]",0.001,relu,0.1,0.6882591093117408,0.9770114942528736,0.6174089068825911,0.3550446127690954,0.5266911764705883,0.32310353348369614,0.2986643554477507,0.39680232558139533,0.27745178835604367,0.01
"[16, 256, 16, 128]",0.001,relu,0,0.6700404858299596,0.9607843137254902,0.6255060728744939,0.2953075097064391,0.43686141225155917,0.28676093452376306,0.2646329588496604,0.3009438222543353,0.2573734616522476,0.0
"[16, 32]",0.001,relu,0.5,0.3603238866396761,0.5030425963488844,0.3299595141700405,0.19418650671434262,0.3282851821831095,0.24559566365730323,0.17816794698670718,0.2625817564135128,0.21922827331932465,0.1
"[8, 64]",0.01,relu,0.25,0.6700404858299596,0.9398242055442867,0.631578947368421,0.3181308726477854,0.356917480666837,0.31098932307474236,0.27919803089174733,0.3065002236703347,0.275063514738108,0.001
"[16, 128]",0.01,relu,0.5,0.6619433198380567,0.982420554428668,0.631578947368421,0.2733940987951141,0.3133993271221532,0.27080021843006824,0.26087024918051405,0.28894592164354893,0.25618280554137873,0.001
"[16, 8, 8]",0.0005,relu,0.5,0.548582995951417,0.5868830290736985,0.5344129554655871,0.13169808914489767,0.10525139997617061,0.19167474682180563,0.12443413562816547,0.09981234096692113,0.17559523809523808,0.001
[64],0.001,relu,0.5,0.6639676113360324,0.9026369168356998,0.6295546558704453,0.32945691654791925,0.35359706376126354,0.3235537578075125,0.30403768166736606,0.31179685324422163,0.3078878246274992,0.0
"[128, 16, 32, 8]",0.0005,relu,0,0.6417004048582996,0.9885057471264368,0.6153846153846154,0.2624212997766821,0.3297854823010894,0.24676108315814196,0.24591234851364255,0.2981576935533093,0.23475764382366382,0.0
"[16, 16]",0.005,relu,0,0.6842105263157895,0.9621365787694388,0.6417004048582996,0.33350078539354805,0.3594798850574713,0.3265763765216206,0.31172133978140404,0.33002697723384655,0.30502736013530757,0.01
[8],0.005,relu,0.5,0.6882591093117408,0.9513184584178499,0.6396761133603239,0.32720113553323854,0.3790447761601555,0.3139500835057781,0.2906354631777662,0.32874191084241,0.2809082403106183,0.001
"[32, 32, 512]",0.001,relu,0.5,0.6740890688259109,0.9587559161595672,0.6275303643724697,0.3328894417022212,0.3656385947083155,0.323343608465636,0.2905241693303621,0.3205153343388637,0.2813081037032852,0.0
"[8, 16, 256]",0.0005,relu,0.5,0.6174089068825911,0.9438810006761326,0.6255060728744939,0.2630349860590892,0.3159245811456706,0.25781634073248594,0.2786804429467844,0.3268270965933733,0.26487346129085804,0.0
"[128, 256]",0.005,relu,0,0.6700404858299596,0.9871534820824882,0.6275303643724697,0.3411695150575581,0.4174571939688219,0.3128035904944541,0.2906173492549897,0.35120286180567695,0.27020751819328165,0.0
"[512, 64, 64]",0.01,relu,0.1,0.6255060728744939,0.993238674780257,0.611336032388664,0.2717385031168857,0.3087006862526203,0.256912640869149,0.2697907856110544,0.29990722418607035,0.25567214526069343,0.1
"[512, 16, 16, 16]",0.005,relu,0,0.6437246963562753,1.0,0.6194331983805668,0.2953758977651835,0.4469907145994102,0.2735358428216689,0.24148653699404457,0.276965871818813,0.2381595706063791,0.0
"[512, 256]",0.0005,relu,0.5,0.6740890688259109,0.9350912778904665,0.6275303643724697,0.3266999707114818,0.3677843118251371,0.3156135301395001,0.2895963240795714,0.30805175311949284,0.28593350464439327,0.01
"[128, 256, 64]",0.01,relu,0.25,0.6234817813765182,0.86342123056119,0.597165991902834,0.2703367259218323,0.3273128715591393,0.2596500767261093,0.24018994876535482,0.2765585632071701,0.24176319279573347,0.0
"[128, 32]",0.001,relu,0.25,0.6720647773279352,0.9790398918187965,0.6295546558704453,0.31453601663344827,0.36102159917689325,0.2985536153167567,0.28154777261781905,0.3131119188088215,0.2693160403970792,0.1
"[64, 8]",0.01,relu,0.1,0.6558704453441295,0.9925625422582827,0.6356275303643725,0.3103330240356832,0.35462813652619746,0.2986795131272603,0.2930943983127539,0.3384299680304828,0.2781248628010205,0.01
"[64, 8, 256]",0.005,relu,0,0.6639676113360324,0.9817444219066938,0.6174089068825911,0.36851609152352294,0.4391346656258792,0.340971192778139,0.2905441641094439,0.35086906332615714,0.27131515407876483,0.0
[512],0.0005,relu,0,0.4068825910931174,0.6288032454361054,0.4230769230769231,0.2607836020242532,0.2995465440934666,0.31289368440494847,0.299116743947453,0.345679962560225,0.3921106117171512,0.1
"[128, 512]",0.005,relu,0.1,0.6538461538461539,0.993238674780257,0.6194331983805668,0.2849367128015371,0.3312706111489297,0.279395899702533,0.2682921024723421,0.3052916936005171,0.2563850959501773,0.01
"[64, 64]",0.0005,relu,0.1,0.4109311740890688,0.6152805949966194,0.39878542510121456,0.2119888659685385,0.24619234079746222,0.27522898083755404,0.22868613134971444,0.2601561813611686,0.28575559125465255,0.1
"[16, 128, 32]",0.0005,relu,0.25,0.6578947368421053,0.9776876267748479,0.6376518218623481,0.3112353433661066,0.34022370545609437,0.29991896974062177,0.29386252103033494,0.3350668199166511,0.27862517701378775,0.01
